Category,Attribute,Value
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/2/2024
Antenna Height,Time,7:22:42 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/2/2024
Rover Setup,Time,1:03:51 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/2/2024
Antenna Height,Time,1:03:51 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/4/2024
Rover Setup,Time,7:34:33 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/4/2024
Antenna Height,Time,7:34:33 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/4/2024
Rover Setup,Time,1:12:42 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/4/2024
Antenna Height,Time,1:12:42 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,1/4/2024
Tilt Compensation,Time,1:30:13 PM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,1/4/2024
Static Mode Settings,Time,1:30:42 PM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,1/4/2024
Static Mode Settings,Time,1:30:42 PM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,1/4/2024
System Check,Time,1:31:03 PM
System Check,Point name,140
System Check,Measured N,1910090.651 usft
System Check,Measured E,6283624.177 usft
System Check,Measured Z,397.977 usft
System Check,Delta N,0.007 usft
System Check,Delta E,0.025 usft
System Check,Delta Elv,0.065 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Tilt Compensation,Date,1/4/2024
Tilt Compensation,Time,1:31:15 PM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,1/5/2024
Rover Setup,Time,7:14:01 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/5/2024
Antenna Height,Time,7:14:01 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/5/2024
Rover Setup,Time,9:56:15 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/5/2024
Antenna Height,Time,9:56:15 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/5/2024
Rover Setup,Time,1:02:47 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/5/2024
Antenna Height,Time,1:02:47 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/8/2024
Rover Setup,Time,7:25:49 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/8/2024
Antenna Height,Time,7:25:49 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,1/8/2024
Tilt Compensation,Time,10:18:06 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,1/8/2024
Static Mode Settings,Time,10:18:53 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,1/8/2024
Static Mode Settings,Time,10:18:53 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,1/8/2024
System Check,Time,10:19:16 AM
System Check,Point name,140
System Check,Measured N,1910090.651 usft
System Check,Measured E,6283624.160 usft
System Check,Measured Z,397.999 usft
System Check,Delta N,0.007 usft
System Check,Delta E,0.008 usft
System Check,Delta Elv,0.043 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.304 usft
Tilt Compensation,Date,1/8/2024
Tilt Compensation,Time,10:19:28 AM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,1/8/2024
Rover Setup,Time,2:13:24 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/8/2024
Antenna Height,Time,2:13:24 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,1/8/2024
Tilt Compensation,Time,3:08:52 PM
Tilt Compensation,Tilt Compensation,Disabled
Tilt Compensation,Date,1/8/2024
Tilt Compensation,Time,3:09:36 PM
Tilt Compensation,Tilt Compensation,Enabled
Base Setup,Date,1/11/2024
Base Setup,Time,9:08:28 AM
Base Setup,Base name,Base 6_28-23
Base Setup,Receiver type,Trimble R750 SN: 6251R05750
Base Setup,Corrections broadcasted via,Radio in Receiver
Base Setup,Radio type,TNL900I
Base Setup,Radio network,20
Base Setup,Base ant. height(APC),0.214 usft
Base Setup,Base latitude,"32°54'17.37049"" N"
Base Setup,Base longitude,"117°09'25.70941"" W"
Base Setup,Base height,296.303 usft
Base Setup,Elevation mask,10
Rover Setup,Date,1/11/2024
Rover Setup,Time,9:10:36 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/11/2024
Antenna Height,Time,9:10:36 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/16/2024
Rover Setup,Time,8:52:54 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/16/2024
Antenna Height,Time,8:52:54 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
DC File Information,Date,1/16/2024
DC File Information,Time,9:22:15 AM
DC File Information,Projection,
DC File Information,Type,Transverse Mercator
DC File Information,Origin lat,"32°54'17.50395"" N"
DC File Information,Origin long,"117°09'23.31123"" W"
DC File Information,Origin height,---
DC File Information,Origin north,1910216.493 usft
DC File Information,Origin east,6283457.369 usft
DC File Information,Origin elev,---
DC File Information,Scale factor,1.000013656
DC File Information,Orient1,---
DC File Information,Orient2,---
DC File Information,Datum,
DC File Information,Transformation type,Molodensky
DC File Information,Earth radius,20925604.47
DC File Information,Flattening,298.2572229
DC File Information,Rotation x,"0°00'00"""
DC File Information,Rotation y,"0°00'00"""
DC File Information,Rotation z,"0°00'00"""
DC File Information,Transformation x,0.000 usft
DC File Information,Transformation y,0.000 usft
DC File Information,Transformation z,0.000 usft
DC File Information,Scale factor,0
DC File Information,Horizontal adjustment,
DC File Information,Origin north,1910513.097 usft
DC File Information,Origin east,6283450.615 usft
DC File Information,Transformation north,0.050 usft
DC File Information,Transformation east,2.564 usft
DC File Information,Rotation about origin,"0°29'52.4538650415"""
DC File Information,Scale factor,0.999989249
DC File Information,Vertical adjustment,
DC File Information,Type,Inclined Plane
DC File Information,Origin north,1910216.499 usft
DC File Information,Origin east,6283457.356 usft
DC File Information,Const adjustment,115.261 usft
DC File Information,Slope north (ppm),-13.043
DC File Information,Slope east (ppm),-54.171
DC File Information,Geoid,---
Antenna Height,Date,1/16/2024
Antenna Height,Time,9:47:48 AM
Antenna Height,Measure mode,Walking
Antenna Height,Antenna height,7.500 usft
Antenna Height,Using Quick Release,Yes
Antenna Height,Tilt Compensation,Enabled
Antenna Height,Date,1/16/2024
Antenna Height,Time,9:48:06 AM
Antenna Height,Measure mode,Walking
Antenna Height,Antenna height,7.500 usft
Antenna Height,Using Quick Release,Yes
Antenna Height,Tilt Compensation,Enabled
Rover Setup,Date,1/16/2024
Rover Setup,Time,1:58:41 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/16/2024
Antenna Height,Time,1:58:41 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/16/2024
Rover Setup,Time,2:28:22 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/16/2024
Antenna Height,Time,2:28:22 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/17/2024
Rover Setup,Time,7:44:07 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/17/2024
Antenna Height,Time,7:44:07 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/17/2024
Rover Setup,Time,11:10:25 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/17/2024
Antenna Height,Time,11:10:25 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/17/2024
Rover Setup,Time,12:11:45 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/17/2024
Antenna Height,Time,12:11:45 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,1/18/2024
Rover Setup,Time,9:25:28 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.304 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,1/18/2024
Antenna Height,Time,9:25:28 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Base Setup,Date,2/12/2024
Base Setup,Time,12:55:42 PM
Base Setup,Base name,Base 6_28-23
Base Setup,Receiver type,Trimble R750 SN: 6251R05750
Base Setup,Corrections broadcasted via,Radio in Receiver
Base Setup,Radio type,TNL900I
Base Setup,Radio network,20
Base Setup,Base ant. height(APC),0.214 usft
Base Setup,Base latitude,"32°54'17.37049"" N"
Base Setup,Base longitude,"117°09'25.70941"" W"
Base Setup,Base height,296.303 usft
Base Setup,Elevation mask,10
eBubble Calibration,Date,2/12/2024
eBubble Calibration,Time,12:59:23 PM
eBubble Calibration,Status,Successful
Rover Setup,Date,2/12/2024
Rover Setup,Time,12:59:27 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.303 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,2/12/2024
Antenna Height,Time,12:59:27 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,2/12/2024
Tilt Compensation,Time,2:09:13 PM
Tilt Compensation,Tilt Compensation,Disabled
Rover Setup,Date,2/14/2024
Rover Setup,Time,12:59:01 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.303 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,2/14/2024
Antenna Height,Time,12:59:01 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,2/14/2024
Tilt Compensation,Time,1:44:30 PM
Tilt Compensation,Tilt Compensation,Disabled
Tilt Compensation,Date,2/14/2024
Tilt Compensation,Time,1:53:53 PM
Tilt Compensation,Tilt Compensation,Enabled
Rover Setup,Date,2/15/2024
Rover Setup,Time,6:59:09 AM
Rover Setup,Base name,AUTO0000
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°52'51.21595"" N"
Rover Setup,Base longitude,"117°11'57.71338"" W"
Rover Setup,Base height,275.086 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,2/15/2024
Antenna Height,Time,6:59:09 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,2/15/2024
Rover Setup,Time,12:34:15 PM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.303 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,2/15/2024
Antenna Height,Time,12:34:15 PM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,2/23/2024
Rover Setup,Time,8:52:20 AM
Rover Setup,Base name,AUTO0000
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°52'51.21595"" N"
Rover Setup,Base longitude,"117°11'57.71338"" W"
Rover Setup,Base height,275.086 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,2/23/2024
Antenna Height,Time,8:52:20 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Rover Setup,Date,2/23/2024
Rover Setup,Time,8:54:00 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.303 usft
Rover Setup,Tilt Compensation,Enabled
Antenna Height,Date,2/23/2024
Antenna Height,Time,8:54:00 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,2/23/2024
Tilt Compensation,Time,9:05:37 AM
Tilt Compensation,Tilt Compensation,Disabled
Static Mode Settings,Date,2/23/2024
Static Mode Settings,Time,9:08:52 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,2/23/2024
Static Mode Settings,Time,9:08:53 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
System Check,Date,2/23/2024
System Check,Time,9:09:13 AM
System Check,Point name,104
System Check,Measured N,1909936.303 usft
System Check,Measured E,6283580.023 usft
System Check,Measured Z,393.701 usft
System Check,Delta N,0.024 usft
System Check,Delta E,0.039 usft
System Check,Delta Elv,0.049 usft
System Check,Base name,BASE_6_28_23
System Check,Base latitude,"32°54'17.37049"" N"
System Check,Base longitude,"117°09'25.70941"" W"
System Check,Base height,296.303 usft
Static Mode Settings,Date,2/23/2024
Static Mode Settings,Time,9:25:44 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,2/23/2024
Static Mode Settings,Time,9:25:44 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,2/23/2024
Static Mode Settings,Time,9:55:20 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Static Mode Settings,Date,2/23/2024
Static Mode Settings,Time,9:55:20 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Rover Setup,Date,2/23/2024
Rover Setup,Time,10:19:27 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.303 usft
Rover Setup,Tilt Compensation,Disabled
Antenna Height,Date,2/23/2024
Antenna Height,Time,10:19:27 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Tilt Compensation,Date,2/23/2024
Tilt Compensation,Time,10:22:02 AM
Tilt Compensation,Tilt Compensation,Enabled
Tilt Compensation,Date,2/23/2024
Tilt Compensation,Time,10:30:04 AM
Tilt Compensation,Tilt Compensation,Disabled
Rover Setup,Date,2/23/2024
Rover Setup,Time,11:01:38 AM
Rover Setup,Base name,BASE_6_28_23
Rover Setup,Receiver type,Trimble R780 SN: 6244F01220
Rover Setup,Corrections received via,Radio in Receiver
Rover Setup,Radio network,20
Rover Setup,Antenna height,6.562 usft
Rover Setup,Base latitude,"32°54'17.37049"" N"
Rover Setup,Base longitude,"117°09'25.70941"" W"
Rover Setup,Base height,296.303 usft
Rover Setup,Tilt Compensation,Disabled
Antenna Height,Date,2/23/2024
Antenna Height,Time,11:01:39 AM
Antenna Height,Measure mode,Standing
Antenna Height,Antenna height,6.562 usft
Antenna Height,Using Quick Release,Yes
Static Mode Settings,Date,2/23/2024
Static Mode Settings,Time,11:02:51 AM
Static Mode Settings,Minimum measuring time,15
Static Mode Settings,Horizontal tolerance,0.082 usft
Static Mode Settings,Vertical tolerance,0.082 usft
Static Mode Settings,Measure method,Bottom of Quick Release
Static Mode Settings,Vertical height,6.562 usft
Static Mode Settings,Using Quick Release,Yes
Static Mode Settings,Tilt Compensation,Disabled
Measure Control Point,Date,2/23/2024
Measure Control Point,Time,11:03:08 AM
Measure Control Point,Point name,Practice4
Measure Control Point,Latitude,"32°54'17.41255"" N"
Measure Control Point,Longitude,"117°09'25.52325"" W"
Measure Control Point,Height,286.296 usft
Measure Control Point,Northing,1910208.901 usft
Measure Control Point,Easting,6283268.687 usft
Measure Control Point,Elevation,401.567 usft
Measure Control Point,Point code,
Measure Control Point,Antenna height,6.562 usft
Base Setup,Date,2/23/2024
Base Setup,Time,11:05:27 AM
Base Setup,Base name,Practice4
Base Setup,Receiver type,Trimble R750 SN: 6251R05750
Base Setup,Corrections broadcasted via,Radio in Receiver
Base Setup,Radio type,TNL900I
Base Setup,Radio network,20
Base Setup,Base ant. height(APC),0.280 usft
Base Setup,Base latitude,"32°54'17.41255"" N"
Base Setup,Base longitude,"117°09'25.52325"" W"
Base Setup,Base height,286.296 usft
Base Setup,Elevation mask,10
Base Setup,Date,2/23/2024
Base Setup,Time,11:06:57 AM
Base Setup,Base name,Base 6_28-23
Base Setup,Receiver type,Trimble R750 SN: 6251R05750
Base Setup,Corrections broadcasted via,Radio in Receiver
Base Setup,Radio type,TNL900I
Base Setup,Radio network,20
Base Setup,Base ant. height(APC),0.280 usft
Base Setup,Base latitude,"32°54'17.37049"" N"
Base Setup,Base longitude,"117°09'25.70941"" W"
Base Setup,Base height,296.303 usft
Base Setup,Elevation mask,10
